receiver_player_name,catch_pct,targets,receptions,pass_touchdown_mean,air_yards_max,air_yards_min,avg_airyds,air_yards_std,yards_after_catch_max,yards_after_catch_min,average_yac,yards_after_catch_std,explosive_yac_pct,mid_yac_pct,short_yac_pct,shortyac_std,screen_pct,screen_std,shortrt_pct,intermediatert_pct,deeprt_pct,deepshots_mean,deepshots_std
G.Bernard,0.6976744186046512,43,30.0,0.0,23.0,-6.0,0.8666666666666667,5.210952215143193,41.0,-3.0,6.933333333333334,8.31671907015946,0.03333333333333333,0.2,0.7666666666666667,0.43018306715207644,0.3333333333333333,0.47946330148538413,0.6333333333333333,0.0,0.03333333333333333,0.0,0.0
G.Everett,0.6166666666666667,60,37.0,0.05405405405405406,26.0,-4.0,6.216216216216216,6.368913805592211,23.0,-2.0,4.8108108108108105,5.295899030999982,0.02702702702702703,0.13513513513513514,0.8378378378378378,0.3736838766118223,0.08108108108108109,0.2767247306920301,0.7027027027027027,0.1891891891891892,0.02702702702702703,0.0,0.0
G.Kittle,0.794392523364486,107,85.0,0.058823529411764705,35.0,-7.0,5.305882352941176,7.445074321500159,37.0,0.0,7.08235294117647,7.564345823076337,0.07058823529411765,0.2,0.7294117647058823,0.44690031098129934,0.2235294117647059,0.4190826315905258,0.5647058823529412,0.18823529411764706,0.047058823529411764,0.0,0.0
G.Olsen,0.6341463414634146,82,52.0,0.038461538461538464,30.0,-5.0,7.615384615384615,6.365205189471301,19.0,0.0,3.8653846153846154,4.838687417843997,0.0,0.15384615384615385,0.8461538461538461,0.3643213074786545,0.019230769230769232,0.13867504905630726,0.6153846153846154,0.34615384615384615,0.019230769230769232,0.0,0.0
G.Tate,0.5764705882352941,85,49.0,0.12244897959183673,29.0,-3.0,8.0,8.299096336348915,63.0,-3.0,5.673469387755102,10.765275494040319,0.061224489795918366,0.10204081632653061,0.8367346938775511,0.3734377890799553,0.16326530612244897,0.3734377890799553,0.5510204081632653,0.22448979591836735,0.08163265306122448,0.0,0.0
H.Henry,0.7142857142857143,77,55.0,0.09090909090909091,23.0,-7.0,8.690909090909091,6.568366185242291,16.0,0.0,3.1636363636363636,3.3431169552426634,0.0,0.05454545454545454,0.9454545454545454,0.22918388365077616,0.03636363636363636,0.18891859540615819,0.5636363636363636,0.38181818181818183,0.03636363636363636,0.0,0.0
H.Renfrow,0.6805555555555556,72,49.0,0.08163265306122448,27.0,-3.0,6.204081632653061,6.512742611721317,57.0,-2.0,6.142857142857143,10.482127646618315,0.04081632653061224,0.14285714285714285,0.8163265306122449,0.39123039821797584,0.12244897959183673,0.331200660553418,0.7346938775510204,0.12244897959183673,0.061224489795918366,0.0,0.0
I.Smith,0.7704918032786885,61,47.0,0.0425531914893617,22.0,-6.0,4.042553191489362,6.3893846979002085,16.0,-1.0,4.425531914893617,3.8715499696423343,0.0,0.0851063829787234,0.9148936170212766,0.28205667284696945,0.19148936170212766,0.39772712255364373,0.6808510638297872,0.14893617021276595,0.0425531914893617,0.0,0.0
J.Akins,0.6545454545454545,55,36.0,0.05555555555555555,23.0,-1.0,4.777777777777778,5.345818719127855,43.0,0.0,6.833333333333333,8.213229745790803,0.05555555555555555,0.19444444444444445,0.75,0.4391550328268398,0.1111111111111111,0.3187276291558383,0.75,0.1388888888888889,0.027777777777777776,0.0,0.0
J.Brown,0.6197183098591549,142,88.0,0.09090909090909091,46.0,-3.0,11.477272727272727,8.634303774589549,21.0,-3.0,3.0681818181818183,4.593337139978374,0.011363636363636364,0.056818181818181816,0.9318181818181818,0.2535021161332042,0.022727272727272728,0.14988675627759454,0.5227272727272727,0.36363636363636365,0.13636363636363635,0.011363636363636364,0.10660035817780524
